EVAL  Pn
0001  1.000000E+00
0002  8.477897E-01
0003  7.587523E-01
0004  6.955793E-01
0005  6.465785E-01
0006  6.065420E-01
0007  5.726915E-01
0008  5.433690E-01
0009  5.175046E-01
0010  4.943682E-01
0011  4.734387E-01
0012  4.543316E-01
0013  4.367548E-01
0014  4.204812E-01
0015  4.053308E-01
0016  3.911586E-01
0017  3.778459E-01
0018  3.652943E-01
0019  3.534215E-01
0020  3.421578E-01
0021  3.314438E-01
0022  3.212284E-01
0023  3.114671E-01
0024  3.021213E-01
0025  2.931570E-01
0026  2.845444E-01
0027  2.762569E-01
0028  2.682708E-01
0029  2.605650E-01
0030  2.531205E-01
0031  2.459201E-01
0032  2.389483E-01
0033  2.321910E-01
0034  2.256355E-01
0035  2.192701E-01
0036  2.130839E-01
0037  2.070673E-01
0038  2.012111E-01
0039  1.955071E-01
0040  1.899475E-01
0041  1.845252E-01
0042  1.792335E-01
0043  1.740664E-01
0044  1.690180E-01
0045  1.640831E-01
0046  1.592567E-01
0047  1.545341E-01
0048  1.499109E-01
0049  1.453831E-01
0050  1.409467E-01
0051  1.365982E-01
0052  1.323341E-01
0053  1.281512E-01
0054  1.240466E-01
0055  1.200172E-01
0056  1.160605E-01
0057  1.121738E-01
0058  1.083547E-01
0059  1.046009E-01
0060  1.009101E-01
0061  9.728041E-02
0062  9.370972E-02
0063  9.019615E-02
0064  8.673792E-02
0065  8.333331E-02
0066  7.998068E-02
0067  7.667846E-02
0068  7.342517E-02
0069  7.021937E-02
0070  6.705971E-02
0071  6.394486E-02
0072  6.087358E-02
0073  5.784466E-02
0074  5.485695E-02
0075  5.190935E-02
0076  4.900079E-02
0077  4.613025E-02
0078  4.329675E-02
0079  4.049935E-02
0080  3.773713E-02
0081  3.500923E-02
0082  3.231481E-02
0083  2.965304E-02
0084  2.702315E-02
0085  2.442438E-02
0086  2.185601E-02
0087  1.931734E-02
0088  1.680767E-02
0089  1.432637E-02
0090  1.187279E-02
0091  9.446321E-03
0092  7.046373E-03
0093  4.672370E-03
0094  2.323758E-03
0095  0.000000E+00
