Run   obj.function   par_pet_correction  par_hbv_beta  par_max_perc_rate  par_baseflow_coeff  par_forest_coverage  par_melt_factor  par_refreeze_factor  
1     -2.665230E-02  1.267814E+00  3.625654E+00  1.164143E+01  2.788241E-01  5.479169E-01  4.267000E+00  1.398580E+00  
2     -2.665230E-02  1.065723E+00  3.423416E+00  4.926861E+00  6.859906E-01  3.929701E-01  1.802819E+00  1.123297E+00  
3     -2.665230E-02  9.551890E-01  2.060307E+00  1.409396E+01  2.359813E-01  8.140653E-01  2.274150E+00  2.646697E+00  
4     -2.665230E-02  1.432897E+00  2.362979E+00  1.906680E+01  4.688540E-01  7.350979E-01  1.692782E+00  2.772945E+00  
5     -2.665230E-02  1.327992E+00  3.915900E+00  2.080325E+01  4.779605E-01  4.853476E-01  2.300132E+00  3.401980E+00  
6     -2.665230E-02  1.209029E+00  3.957313E+00  1.915011E+01  7.297489E-01  3.215989E-01  1.567229E+00  2.800978E+00  
7     -2.665230E-02  1.295775E+00  2.787655E+00  2.446334E+01  7.452076E-01  3.880685E-01  1.627021E+00  2.800084E+00  
8     -2.665230E-02  1.209405E+00  2.430075E+00  2.446334E+01  6.925351E-01  3.804204E-01  1.914452E+00  2.301973E+00  
9     -2.665230E-02  1.172185E+00  3.047294E+00  2.185509E+01  6.925351E-01  3.132718E-01  3.221683E+00  2.301973E+00  
10    -2.665230E-02  1.172185E+00  3.047294E+00  2.452882E+01  4.630463E-01  3.132718E-01  2.821895E+00  2.259386E+00  
11    -2.665230E-02  9.751819E-01  2.988427E+00  2.444890E+01  5.889830E-01  3.537069E-01  2.427492E+00  1.482307E+00  
12    -2.665230E-02  9.751819E-01  3.034889E+00  2.444890E+01  5.889830E-01  3.537069E-01  2.427492E+00  1.482307E+00  
13    -2.665230E-02  1.048541E+00  3.034889E+00  2.382341E+01  7.241404E-01  3.537069E-01  1.986616E+00  1.482307E+00  
14    -2.665230E-02  1.212561E+00  2.351420E+00  2.382341E+01  6.802097E-01  2.578878E-01  2.358739E+00  1.482307E+00  
15    -2.665230E-02  1.212561E+00  2.365503E+00  2.382341E+01  7.788046E-01  4.671618E-01  2.553041E+00  1.482307E+00  
16    -2.665230E-02  1.212561E+00  2.365503E+00  2.382341E+01  7.788046E-01  4.671618E-01  2.041557E+00  1.828172E+00  
17    -2.665230E-02  1.212561E+00  2.365503E+00  2.382341E+01  7.788046E-01  4.671618E-01  2.184132E+00  1.828172E+00  
