time,date,hour,precip [mm/day],sub_39 [m3/s]
0,1980-01-01,00:00:00.00,---,0
1,1980-01-02,00:00:00.00,7.91,0.140864
2,1980-01-03,00:00:00.00,0,0.158191
3,1980-01-04,00:00:00.00,0,0.0185792
4,1980-01-05,00:00:00.00,1.73,0.00130691
5,1980-01-06,00:00:00.00,0,5.66001e-05
6,1980-01-07,00:00:00.00,0,1.46837e-06
7,1980-01-08,00:00:00.00,1.23,2.07912e-08
8,1980-01-09,00:00:00.00,1.82,1.26179e-10
9,1980-01-10,00:00:00.00,2.29,0
10,1980-01-11,00:00:00.00,0,0
11,1980-01-12,00:00:00.00,3.27,0
12,1980-01-13,00:00:00.00,0,0
13,1980-01-14,00:00:00.00,0,0
14,1980-01-15,00:00:00.00,4.96,0
15,1980-01-16,00:00:00.00,1.92,0
16,1980-01-17,00:00:00.00,3.57,0
17,1980-01-18,00:00:00.00,0,0
18,1980-01-19,00:00:00.00,0,0
19,1980-01-20,00:00:00.00,0,0
20,1980-01-21,00:00:00.00,0,0
21,1980-01-22,00:00:00.00,0,0
22,1980-01-23,00:00:00.00,0,0
23,1980-01-24,00:00:00.00,0,0
24,1980-01-25,00:00:00.00,0,0
25,1980-01-26,00:00:00.00,0,0
26,1980-01-27,00:00:00.00,0,0
27,1980-01-28,00:00:00.00,0,0
28,1980-01-29,00:00:00.00,0,0
29,1980-01-30,00:00:00.00,0,0
30,1980-01-31,00:00:00.00,0,0
31,1980-02-01,00:00:00.00,5.33,0
32,1980-02-02,00:00:00.00,3.33,0
33,1980-02-03,00:00:00.00,3.52,0
34,1980-02-04,00:00:00.00,2.72,0
35,1980-02-05,00:00:00.00,0,0
36,1980-02-06,00:00:00.00,3.85,0
37,1980-02-07,00:00:00.00,0,0
38,1980-02-08,00:00:00.00,0,0
39,1980-02-09,00:00:00.00,0,0
40,1980-02-10,00:00:00.00,0,0.00222582
41,1980-02-11,00:00:00.00,0,0.00889621
42,1980-02-12,00:00:00.00,0,0.0105868
43,1980-02-13,00:00:00.00,0,0.00782396
44,1980-02-14,00:00:00.00,3.04,0.00545254
45,1980-02-15,00:00:00.00,3.05,0.00155199
46,1980-02-16,00:00:00.00,3.18,7.47675e-06
47,1980-02-17,00:00:00.00,1.71,4.77654e-07
48,1980-02-18,00:00:00.00,4.02,0.018144
49,1980-02-19,00:00:00.00,0,0.0601889
50,1980-02-20,00:00:00.00,5.99,1.68073
51,1980-02-21,00:00:00.00,5.91,2.65771
52,1980-02-22,00:00:00.00,0,1.25792
53,1980-02-23,00:00:00.00,0,0.401855
54,1980-02-24,00:00:00.00,0,0.315721
55,1980-02-25,00:00:00.00,0,0.295214
56,1980-02-26,00:00:00.00,1.68,0.2837
57,1980-02-27,00:00:00.00,1.85,0.316691
58,1980-02-28,00:00:00.00,2.86,0.644699
59,1980-02-29,00:00:00.00,1.69,0.767728
60,1980-03-01,00:00:00.00,0,0.548296
61,1980-03-02,00:00:00.00,0,0.503675
62,1980-03-03,00:00:00.00,2.57,0.536824
63,1980-03-04,00:00:00.00,3.98,0.613371
64,1980-03-05,00:00:00.00,2.1,0.65948
65,1980-03-06,00:00:00.00,0,0.639126
66,1980-03-07,00:00:00.00,0,0.595561
67,1980-03-08,00:00:00.00,0,0.545921
68,1980-03-09,00:00:00.00,0,0.499727
69,1980-03-10,00:00:00.00,8.13,0.65521
70,1980-03-11,00:00:00.00,0,0.736394
71,1980-03-12,00:00:00.00,0,0.595974
72,1980-03-13,00:00:00.00,7.92,0.576093
73,1980-03-14,00:00:00.00,0,0.588033
74,1980-03-15,00:00:00.00,0,0.558272
75,1980-03-16,00:00:00.00,0,0.518565
76,1980-03-17,00:00:00.00,0,0.468701
77,1980-03-18,00:00:00.00,0,0.419281
78,1980-03-19,00:00:00.00,0,0.384283
79,1980-03-20,00:00:00.00,0,0.368304
80,1980-03-21,00:00:00.00,0,0.350967
81,1980-03-22,00:00:00.00,0,0.329208
82,1980-03-23,00:00:00.00,0,0.326185
83,1980-03-24,00:00:00.00,0,0.335239
84,1980-03-25,00:00:00.00,0,0.325931
85,1980-03-26,00:00:00.00,0,0.291916
86,1980-03-27,00:00:00.00,1.59,0.27111
87,1980-03-28,00:00:00.00,0,0.272723
88,1980-03-29,00:00:00.00,3.24,0.276194
89,1980-03-30,00:00:00.00,0,0.269211
90,1980-03-31,00:00:00.00,0,0.243989
91,1980-04-01,00:00:00.00,0,0.211747
92,1980-04-02,00:00:00.00,0,0.192444
93,1980-04-03,00:00:00.00,0,0.182217
94,1980-04-04,00:00:00.00,0,0.168685
95,1980-04-05,00:00:00.00,2.51,0.168416
96,1980-04-06,00:00:00.00,3.95,0.206763
97,1980-04-07,00:00:00.00,1.98,0.255978
98,1980-04-08,00:00:00.00,0,0.270978
99,1980-04-09,00:00:00.00,2.49,0.2747
