,TEMP_MAX,TEMP_MIN,PRECIP
1991-01-01,-7.08,-12.12,1.04
1991-01-02,-7.85,-21.15,0.19
1991-01-03,-8.72,-20.08,0.00
1991-01-04,-11.77,-25.66,0.00
1991-01-05,-13.45,-24.90,0.00
1991-01-06,-13.50,-26.12,6.90
1991-01-07,-10.47,-15.48,12.63
1991-01-08,-9.57,-14.41,5.63
1991-01-09,-7.34,-11.97,5.51
1991-01-10,-2.08,-9.50,1.33
1991-01-11,0.26,-5.09,1.55
1991-01-12,3.01,-1.23,1.25
1991-01-13,1.33,-2.47,1.35
1991-01-14,1.00,-2.85,1.38
1991-01-15,2.83,-3.73,3.80
1991-01-16,0.23,-4.14,7.00
1991-01-17,1.69,-1.16,2.53
1991-01-18,2.13,-3.71,5.25
1991-01-19,-3.05,-14.72,0.00
1991-01-20,-2.84,-19.23,0.00
1991-01-21,-3.60,-16.63,0.00
1991-01-22,-1.62,-16.25,0.00
1991-01-23,-2.05,-17.05,0.59
1991-01-24,-2.05,-12.59,0.64
1991-01-25,-1.67,-15.81,0.21
1991-01-26,-5.37,-18.40,0.00
1991-01-27,-1.92,-17.15,0.88
1991-01-28,-7.15,-17.11,0.00
1991-01-29,-7.36,-23.25,0.00
1991-01-30,-6.57,-18.16,0.44
1991-01-31,0.53,-9.42,0.00
1991-02-01,6.26,-3.62,0.01
1991-02-02,7.15,0.02,0.06
1991-02-03,5.54,-1.26,1.46
1991-02-04,6.16,-1.18,3.03
1991-02-05,6.79,-0.57,0.00
1991-02-06,5.62,-7.39,0.00
1991-02-07,2.84,-1.90,3.96
1991-02-08,3.27,-0.54,3.92
1991-02-09,4.20,-0.29,0.02
1991-02-10,3.15,-1.01,0.00
1991-02-11,2.58,-1.26,2.48
1991-02-12,4.19,-1.98,0.39
1991-02-13,3.54,-2.27,5.54
1991-02-14,3.40,-0.44,0.45
1991-02-15,3.66,0.38,0.62
1991-02-16,2.96,-0.45,0.18
1991-02-17,5.67,-3.81,0.17
1991-02-18,3.22,-6.99,3.97
1991-02-19,6.93,-1.69,0.05
1991-02-20,6.03,-2.51,0.00
1991-02-21,4.30,-7.71,0.00
1991-02-22,6.20,-4.36,0.00
1991-02-23,5.94,-8.76,0.00
1991-02-24,7.61,-8.81,0.00
1991-02-25,9.50,-5.15,0.00
1991-02-26,9.32,-7.54,0.00
1991-02-27,9.15,-6.96,0.16
1991-02-28,-2.63,-5.80,8.15
1991-03-01,-5.28,-9.98,4.95
1991-03-02,-0.58,-8.88,0.73
1991-03-03,3.24,-5.52,6.26
1991-03-04,1.96,-4.65,0.83
1991-03-05,0.51,-12.56,2.55
1991-03-06,2.41,-9.52,1.62
1991-03-07,4.29,-9.63,3.66
1991-03-08,6.02,-12.74,0.00
1991-03-09,7.81,-5.56,2.60
1991-03-10,2.75,-3.09,0.52
1991-03-11,0.58,-9.56,1.49
1991-03-12,3.99,-5.42,0.01
1991-03-13,5.91,-10.94,0.71
1991-03-14,4.77,-4.16,0.38
1991-03-15,4.81,-6.87,0.72
1991-03-16,5.42,-3.91,0.00
1991-03-17,8.95,-9.83,0.00
1991-03-18,10.01,-9.84,0.00
1991-03-19,7.80,-1.18,6.09
1991-03-20,6.44,0.70,1.37
1991-03-21,9.57,-2.97,0.87
1991-03-22,5.04,-1.87,0.00
1991-03-23,5.36,-5.49,0.10
1991-03-24,6.14,-1.63,0.00
1991-03-25,-0.29,-7.39,0.96
1991-03-26,2.64,-12.63,0.00
1991-03-27,10.33,-8.36,0.00
1991-03-28,6.96,-6.33,0.81
1991-03-29,8.40,-5.85,0.00
1991-03-30,14.15,-6.20,0.00
1991-03-31,15.71,-2.43,0.00
1991-04-01,12.41,1.88,0.87
1991-04-02,8.00,0.62,1.78
1991-04-03,6.73,-2.72,0.17
1991-04-04,10.01,2.20,1.85
1991-04-05,10.31,1.93,1.70
1991-04-06,8.32,-5.69,0.34
1991-04-07,7.60,-4.88,0.00
1991-04-08,8.43,-6.49,1.82
1991-04-09,4.71,-1.04,2.11
1991-04-10,3.85,-2.28,0.29
1991-04-11,12.13,-6.29,0.00
1991-04-12,14.79,-5.11,0.00
1991-04-13,14.97,-3.48,0.00
1991-04-14,11.60,-0.10,2.41
1991-04-15,11.69,0.93,0.38
1991-04-16,13.60,-1.34,0.00
1991-04-17,14.91,-4.05,0.00
1991-04-18,15.96,-3.89,0.00
1991-04-19,16.12,-3.45,0.00
1991-04-20,18.10,-3.08,0.00
1991-04-21,18.40,-2.79,0.00
1991-04-22,17.13,-1.11,0.25
1991-04-23,11.04,-0.38,0.30
1991-04-24,9.30,0.42,5.92
1991-04-25,8.21,-4.64,0.71
1991-04-26,9.27,-4.20,0.00
1991-04-27,10.01,-3.62,0.00
1991-04-28,10.38,-4.06,0.06
1991-04-29,12.10,-1.68,0.03
1991-04-30,12.39,-4.46,0.68
1991-05-01,16.30,-3.58,0.00
1991-05-02,17.88,-4.68,0.00
1991-05-03,16.57,-2.20,2.51
1991-05-04,13.67,0.51,2.31
1991-05-05,11.67,1.49,1.72
1991-05-06,11.64,3.74,5.38
1991-05-07,11.29,3.51,6.24
1991-05-08,8.68,4.87,16.83
1991-05-09,8.33,0.35,4.69
1991-05-10,17.14,3.75,0.11
1991-05-11,21.68,0.45,0.35
1991-05-12,13.96,8.03,1.20
1991-05-13,17.04,4.97,0.01
1991-05-14,15.29,1.03,0.03
1991-05-15,16.89,-2.24,0.00
1991-05-16,16.22,4.63,0.16
1991-05-17,17.04,4.65,1.65
1991-05-18,16.08,6.03,5.72
1991-05-19,18.31,7.64,3.94
1991-05-20,22.66,7.03,0.00
1991-05-21,19.18,4.39,0.00
1991-05-22,18.20,-0.77,0.02
1991-05-23,18.33,-1.62,4.94
1991-05-24,10.46,5.63,6.59
1991-05-25,13.52,1.96,3.20
1991-05-26,15.52,4.55,0.33
1991-05-27,18.60,1.09,0.84
1991-05-28,19.34,1.63,3.90
1991-05-29,18.39,4.54,5.33
1991-05-30,17.36,7.80,0.57
1991-05-31,19.88,1.17,0.00
1991-06-01,22.36,1.67,0.03
1991-06-02,22.33,4.58,1.50
1991-06-03,15.90,3.50,0.00
1991-06-04,16.42,-3.19,0.00
1991-06-05,22.78,-1.68,0.00
1991-06-06,17.29,9.26,1.07
1991-06-07,15.55,6.66,0.93
1991-06-08,20.15,7.58,0.04
1991-06-09,23.66,2.05,0.02
1991-06-10,22.82,5.46,2.20
1991-06-11,16.67,10.08,0.00
1991-06-12,15.00,1.10,1.70
1991-06-13,14.59,-0.34,1.62
1991-06-14,14.75,-0.78,0.17
1991-06-15,18.48,3.31,0.31
1991-06-16,13.51,3.39,6.00
1991-06-17,16.46,1.10,0.00
1991-06-18,21.19,1.21,0.00
1991-06-19,23.63,4.34,2.41
1991-06-20,16.24,9.85,12.04
1991-06-21,15.69,9.01,5.23
1991-06-22,17.62,8.61,6.00
1991-06-23,17.18,7.29,2.72
1991-06-24,21.63,4.45,0.36
1991-06-25,19.98,4.28,6.82
1991-06-26,20.11,9.12,1.96
1991-06-27,23.73,5.38,0.04
1991-06-28,25.21,5.78,0.67
1991-06-29,22.32,7.50,1.87
1991-06-30,19.79,10.05,0.04
1991-07-01,26.12,3.65,0.00
1991-07-02,29.91,6.54,0.00
1991-07-03,30.94,8.45,0.00
1991-07-04,27.03,5.53,0.00
1991-07-05,24.24,4.59,0.00
1991-07-06,20.14,4.78,0.00
1991-07-07,25.92,1.90,0.15
1991-07-08,27.88,5.67,0.00
1991-07-09,27.87,5.99,2.37
1991-07-10,26.28,11.14,5.09
1991-07-11,26.78,10.17,0.00
1991-07-12,28.94,9.60,0.74
1991-07-13,25.93,8.78,1.28
1991-07-14,24.50,3.41,0.48
